Timestamp,What is your username?,What is your discord username?,What was your time? (view https://gamebanana.com/mods/519956 for more time instructions),Submit a link to your journal image or video here!,Do you solemnly swear that you cleared this blind?
7/12/2024 14:18:59,AmberBolt,amber_bolt,12:29,Journal image: https://imgur.com/a/NUP58ph (you can see the actual time for calculation in the video)|  Video link: https://youtu.be/D9VrFNlmgxc,Yes
7/13/2024 9:37:08,miyaryu,miyaryu,12:55,https://imgur.com/a/AH3Chn0,Yes
7/15/2024 15:32:42,Firework,@vuurwerkgd,14:14,https://discord.com/channels/912804360331874355/1249796816254533665/1262520622823510207,Yes
2024/7/13 14:14,桦树ovo,桦树ovo,14:19,https://www.bilibili.com/video/BV1fw4m1a7D9/?vd_source=b53df03e226b1a7792dc35d1ad643f32,Yes
7/15/2024 14:31:38,Sir Jiggle,Sir Jiggle,15:14,https://prnt.sc/f5aInoa3BUCl,Yes
7/14/2024 17:11:50,DarkLeviathan8,DarkLeviathan8,17:26,https://prnt.sc/BA-nCxBF6poc,Yes
7/14/2024 14:28:44,InfinityLake,InfinityLake,18:37,https://imgur.com/a/AoYw8yN,Yes
7/13/2024 21:42:24,te_79,te_79,18:57,https://imgur.com/a/krvE23s,Yes
7/12/2024 14:32:33,burgerhex,burgerhex,19:43,https://imgur.com/a/660dZtU,Yes
7/12/2024 15:43:59,nonoji(のの字),Non0ji,19:47,https://imgur.com/a/XVxIRxu,Yes
7/12/2024 14:45:20,Pixel_Yosh,pixel_yosh,21:28,https://imgur.com/PZ2ExWb,Yes
7/12/2024 12:57:13,Adam Korinek,Adam Korinek,21:29,https://prnt.sc/kErc1i3xig2k,Yes
2024/7/13 18:13,DSS,DSS,22:40,https://imgur.com/a/Kiy3Ajo,Yes
7/14/2024 7:38:09,Lumium,lugunium,27:32,https://imgur.com/a/exQlLWO,Yes
2024/7/15 17:11,付雪,付雪,28:31,https://imgur.com/a/WEnpK6u,Yes
7/12/2024 13:19:12,Esteban24,Esteban24 (esteban241111),29:05,https://imgur.com/a/vt5YYsB,Yes
2024/7/13 14:20,猪脑子,猪脑子,33:15,https://imgur.com/a/tmok4qw,Yes
7/13/2024 12:23:01,GlerG,glerg,35:18,https://imgur.com/a/TTgB0Or,Yes
2024/7/13 14:31,不记得密码,不记得密码,36:08,https://imgur.com/a/Hfwip0J,Yes
7/12/2024 13:18:50,Meowlissa,wmeowlissa,36:31,https://imgur.com/gallery/csc-week-5-expert-map-DdjkJdg,Yes
7/12/2024 19:58:06,Jitio,Jitio,39:02,https://www.twitch.tv/videos/2196173928,Yes
2024/7/13 14:30,zhujiao,zhujiao,44:49,https://imgur.com/a/afpYT7l,Yes
7/15/2024 11:48:52,Player696103392,Player696103392,46:43,https://imgur.com/a/z2CRYgK,Yes
7/12/2024 17:02:00,NagKai,NagKai,47:05,https://discord.com/channels/912804360331874355/1249796816254533665/1261456367320043551,Yes
7/12/2024 13:53:08,Snowdrop,Snowdrop_rikka,1:05:08,https://imgur.com/a/Leue5V0,Yes
7/16/2024 7:21:55,Logic Matthew,logic_matthew,1:33:05,https://drive.google.com/file/d/1QTrGPe3yjK2qOdEv3FEbXO-MFdj6UB10/view?usp=sharing,Yes
7/13/2024 8:31:50,kalypso,khallypso_,1:36:37,https://prnt.sc/P02yD3abes__,Yes
7/14/2024 17:07:47,Wojowu,wojowu,2:04:27,https://prnt.sc/aP6A9ilJjNh_,Yes
7/15/2024 23:25:54,Pip,pipadmin,2:25:23,https://imgur.com/a/dRyhLzm,Yes
7/15/2024 6:59:51,gkk,_bactrianus,2:55:02,https://i.imgur.com/DnBsYPM.jpeg,Yes
